tipo,nome,repositorio,kingdom,tag,url
ocorrencias,Coleção de Bryozoa do Museu Nacional - UFRJ,mnrj,Animalia,bryozoa_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Cnidaria do Museu Nacional (MNRJ),mnrj,Animalia,mnrj_cnidaria,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Crustacea do Museu Nacional (MNRJ - CARCINO),mnrj,Animalia,mnrj_carcinologia,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Echinodermata do Museu Nacional - MNRJ-ECHINO,mnrj,Animalia,mnrj-echino,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Mamíferos do Museu Nacional / UFRJ,mnrj,Animalia,mammnufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Nematoda do Museu Nacional - UFRJ,mnrj,Animalia,nematoda_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Nematomorpha do Museu Nacional - UFRJ,mnrj,Animalia,nematomorpha_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Nemertea do Museu Nacional - UFRJ,mnrj,Animalia,nemertea_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Platyhelminthes do Museu Nacional - UFRJ,mnrj,Animalia,platyhelminthes_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Polychaeta do Museu Nacional,mnrj,Animalia,ufjr_polychaeta,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Porifera do Instituto de Biologia da UFRJ,mnrj,Animalia,ufrj-ib_porifera,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Porifera do Museu Nacional - UFRJ,mnrj,Animalia,porifera_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Répteis do Museu Nacional (MNRJ),mnrj,Animalia,mnrj_reptilia,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Sipuncula do Museu Nacional - UFRJ,mnrj,Animalia,sipuncula_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Tardigrada do Museu Nacional - UFRJ,mnrj,Animalia,tardigrada_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - Blattaria,mnrj,Animalia,mnrj_entomo_blattaria,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - Coleoptera,mnrj,Animalia,mnrj_entomo_coleoptera_01,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - Diptera,mnrj,Animalia,mnrj_entomo_diptera_01,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - famílias aquáticas de Diptera,mnrj,Animalia,mnrj_entomo_diptera_aquat,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - Hemiptera,mnrj,Animalia,mnrj_entomo_hemiptera,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - Hymenoptera,mnrj,Animalia,mnrj_entomo_hymenoptera,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - Lepidoptera,mnrj,Animalia,mnrj_entomo_lepidoptera,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - Orthoptera,mnrj,Animalia,mnrj_entomo_orthoptera,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do MNRJ - Outras Ordens,mnrj,Animalia,mnrj_entomo_outras_ordens,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Entomológica do Museu Nacional / UFRJ,mnrj,Animalia,entomologica_1,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção Ictiológica (MNRJ) Museu Nacional (MN) Universidade Federal do Rio de Janeiro(UFRJ),mnrj,Animalia,mnrj_ictiologia,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Firefly (Coleoptera: Lampyridae) species from the Atlantic Forest hotspot Brazil.,mnrj,Animalia,af_fireflies_br_01,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Mollusca Collection - Museu Nacional/UFRJ,mnrj,Animalia,mnrj_mollusca,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Myriapoda_do_Museu_Nacional_(MNRJ_MYRI),mnrj,Animalia,myriapoda_do_museu_nacional,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,ACAM - Herbário da Universidade Estadual da Paraíba. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,acam,https://ipt.jbrj.gov.br/jabot/
ocorrencias,AFR - Herbário Anders Fredrik Regnell. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,afr,https://ipt.jbrj.gov.br/jabot/
ocorrencias,BHCB - Herbário da Universidade Federal Minas Gerais. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,bhcb,https://ipt.jbrj.gov.br/jabot/
ocorrencias,BRBA - Herbário da Universidade Federal do Oeste da Bahia. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,brba,https://ipt.jbrj.gov.br/jabot/
ocorrencias,CAP - Herbário da Universidade Federal do Espírito Santo. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,cap,https://ipt.jbrj.gov.br/jabot/
ocorrencias,CBPM - Herbário da Coleção Botânica de Plantas Medicinais da Fiocruz. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,cbpm,https://ipt.jbrj.gov.br/jabot/
ocorrencias,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,cgms,https://ipt.jbrj.gov.br/jabot/
ocorrencias,COR - Herbário da Universidade Federal de Mato Grosso do Sul / Campus Pantanal. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,cor,https://ipt.jbrj.gov.br/jabot/
ocorrencias,CRI - Herbário da Universidade do Extremo Sul Catarinense. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,cri,https://ipt.jbrj.gov.br/jabot/
ocorrencias,DDMS - Herbário da Universidade Federal da Grande Dourados. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,ddms,https://ipt.jbrj.gov.br/jabot/
